7070000,5050000,2580000,1316666.66666667,522666.666666667,262000,132333.333333333,54700,29733.3333333333,18533.3333333333,13833.3333333333
2433333.33333333,1430000,748000,420333.333333333,228000,134666.666666667,72833.3333333333,31466.6666666667,17733.3333333333,11266.6666666667,8386.66666666667
18200000,8340000,4233333.33333333,2166666.66666667,859666.666666667,430666.666666667,217000,89666.6666666667,48666.6666666667,30900,25333.3333333333
16000000,7316666.66666667,3713333.33333333,1896666.66666667,756666.666666667,380000,192666.666666667,84233.3333333333,51633.3333333333,37500,30400
19666666.6666667,8970000,4560000,2343333.33333333,931666.666666667,467000,237666.666666667,104600,65666.6666666667,50966.6666666667,47966.6666666667
19233333.3333333,8766666.66666667,4456666.66666667,2290000,906333.333333333,454333.333333333,229666.666666667,96066.6666666667,54233.3333333333,36600,31266.6666666667
18600000,8473333.33333333,4303333.33333333,2210000,874333.333333333,437666.666666667,220666.666666667,90966.6666666667,49300,31100,24366.6666666667
18133333.3333333,8673333.33333333,4403333.33333333,2253333.33333333,895666.666666667,447000,225333.333333333,93233.3333333333,50800,32266.6666666667,25366.6666666667
19600000,8926666.66666667,4540000,2333333.33333333,925000,464666.666666667,236000,103000,63900,47300,39033.3333333333
18733333.3333333,8610000,4383333.33333333,2253333.33333333,893000,448333.333333333,226000,94066.6666666667,52266.6666666667,34500,28233.3333333333
19600000,8930000,4530000,2330000,928666.666666667,464000,236000,103600,63833.3333333333,46900,37800
19333333.3333333,8793333.33333334,4463333.33333333,2293333.33333333,908000,454666.666666667,229000,94600,51233.3333333333,32300,25433.3333333333
18500000,8463333.33333334,4293333.33333333,2196666.66666667,869333.333333333,436333.333333333,220000,90800,49200,31033.3333333333,24600
18533333.3333333,8473333.33333333,4300000,2210000,877333.333333333,438000,220666.666666667,91066.6666666667,49466.6666666667,31233.3333333333,25166.6666666667
19133333.3333333,8720000,4423333.33333333,2270000,901000,449666.666666667,226666.666666667,93700,50966.6666666667,32366.6666666667,26700
18900000,8630000,4373333.33333333,2243333.33333333,887000,445666.666666667,224666.666666667,92833.3333333333,50433.3333333333,32033.3333333333,26733.3333333333
18700000,8476666.66666667,4320000,2203333.33333333,878333.333333333,439333.333333333,221666.666666667,92766.6666666667,52233.3333333333,35200,32000
